state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,3929,4163,4434,4598,4651,4742,4831,4879,5064,5407,5830,6209,6107,6029,5976,5652,5738,5780,5764,5671
Alaska,7548,7127,7617,7730,7948,8204,8377,8477,8800,9063,9467,10976,11694,11966,11939,11260,11628,11505,12108,10627
Arizona,3707,3716,3810,3938,4002,4071,4268,4412,4430,4514,4610,4800,4860,4727,4489,4329,4080,4230,4145,4146
Arkansas,3891,4141,4289,4399,4542,4707,4906,5049,5509,5644,5741,5780,6205,6552,6622,5966,5888,5903,5912,5928
California,4282,4653,4848,5118,5559,6029,6109,6169,6209,6301,6641,6818,6663,6377,6158,6191,6117,6240,6761,7165
Colorado,4380,4640,4762,4838,5014,5256,5414,5559,5629,5736,5648,6077,5840,5915,5747,5565,5588,5767,5874,6062
Connecticut,6697,6393,7074,7257,7503,7816,8033,8239,8358,8670,8953,9281,9889,10060,9785,9856,9967,10295,10561,10810
Delaware,5625,5736,5797,6044,6237,6482,6745,6946,7169,7456,7122,7452,7246,7348,7580,8136,8059,8148,8229,8438
District of Columbia,6105,7193,7727,9001,9786,10712,11455,12074,12693,12837,12505,16310,17352,18810,17640,17892,17281,16983,17097,17658
Florida,4454,4563,4745,4682,4760,4856,5070,5213,5381,5563,5915,6074,5847,5788,5840,5414,5381,5517,5541,5504
Georgia,4609,4795,5091,5249,5495,5768,5852,5894,5824,6009,6266,6578,6494,6347,6148,6058,5920,5946,6082,6248
Hawaii,3232,3451,3873,4180,4847,5524,5952,6260,6210,6513,7036,7192,7433,6377,5819,5478,5369,5977,5537,5723
Idaho,3991,4105,4300,4249,4467,4709,4674,4595,4564,4491,4461,4522,4600,4521,4251,4107,4196,4133,4140,4201
Illinois,4440,4904,5217,5421,5493,5619,5897,6140,6206,6357,6456,6680,7120,7317,7284,7275,7318,7547,7663,7732
Indiana,4550,4805,4913,4973,5100,5268,5495,5683,5936,5753,5765,5500,5615,5721,5463,5404,5231,5154,5156,5200
Iowa,4617,5099,5215,5361,5336,5350,5633,5868,5927,6021,6118,6340,6587,6622,6613,6665,6790,6913,7053,7137
Kansas,4727,4831,4884,5008,5213,5436,5496,5539,5516,5743,5994,6240,6328,6091,6003,5925,5991,6032,6063,6009
Kentucky,4037,4019,4216,4308,4423,4557,4632,4695,5093,5328,5323,5635,5586,5792,5891,5933,5834,5735,5811,5882
Louisiana,3980,4208,4412,4474,4665,4871,5051,5198,5317,5614,5859,6361,6665,6689,6691,7014,6184,6184,6269,6219
Maine,5922,6271,6140,6385,6537,6737,6999,7241,7352,7530,7713,7877,8256,8327,8328,8111,7924,8088,8380,8454
Maryland,5071,5102,5336,5432,5747,6101,6201,6270,6440,6773,7298,7782,8056,8164,8062,7906,8038,8083,8196,7328
Massachusetts,5517,5951,6286,6598,6916,7306,7463,7608,7793,7943,8113,8463,8912,8740,8627,8892,8982,9340,9510,9491
Michigan,5658,6033,6247,6439,6379,6383,6870,7319,7303,6639,7323,7016,7121,7167,6903,6684,6511,6460,6566,6590
Minnesota,5569,5515,5827,6036,5991,6012,6157,6263,6327,6416,6518,6683,7226,6883,6756,6710,6808,6924,7149,7341
Mississippi,3406,3585,3721,4028,4074,4144,4422,4641,4772,5051,5043,5192,5250,5269,5082,5169,5151,5149,5258,5354
Missouri,4325,4494,4723,4893,5145,5425,5444,5430,5463,5595,5743,5958,6099,6138,5912,5849,5916,5984,6111,6148
Montana,4924,5033,5112,5202,5359,5546,5730,5879,5871,5976,6164,6287,6424,6693,6656,6478,6469,6623,6565,6668
Nebraska,4707,4705,4736,4909,5207,5524,5657,5752,5678,5726,6052,6154,6432,6862,6838,7048,7155,7178,7290,7475
Nevada,4232,4325,4490,4524,4599,4689,4791,4802,4921,5172,5460,5554,5566,5622,5671,5366,5389,5366,5424,5543
New Hampshire,5062,5217,5358,5662,5931,6254,6602,6926,7154,7379,7636,8086,8458,8810,9010,9146,9220,9401,9630,9824
New Jersey,7224,7608,7706,8274,8330,8454,9054,9601,9937,10252,10378,10651,10872,11295,10746,10906,11299,11725,11518,11594
New Mexico,3957,4160,4468,4655,4899,5133,5367,5543,5594,5760,5920,6081,6203,6137,5854,5630,5641,5591,6033,5859
New York,7048,7370,7692,8175,8464,8828,9189,9521,9834,10221,10585,11062,11495,11774,11844,11857,12587,12891,13300,12767
North Carolina,4223,4413,4600,4887,4913,4990,5009,5007,5197,5192,5402,5344,5689,5512,5259,5165,5170,5067,5202,5194
North Dakota,4206,4559,4727,4937,5051,5188,5576,5881,6009,6063,6084,6324,6496,6878,7031,6951,6967,7005,7476,7546
Ohio,4764,5048,5287,5512,5703,5937,6282,6589,6603,6647,6617,6727,6870,7018,7037,7112,6835,6922,7073,7329
Oklahoma,4168,4369,4580,4726,5009,5289,5167,5027,5265,5325,5528,5602,5650,5716,5048,5035,5072,5042,4959,4896
Oregon,5079,5376,5551,5600,5781,5986,5847,5707,5927,6044,6185,6483,6583,6405,6352,6237,6181,6366,6643,6843
Pennsylvania,5258,5944,6168,6210,6018,5878,6555,7172,7376,7460,7543,7710,7857,8131,8055,7957,8634,8562,8831,9129
Rhode Island,6058,6328,6474,6669,7042,7453,7882,8302,8394,8570,9095,9300,9480,9573,9561,9589,9803,9792,9961,10197
South Carolina,4193,4410,4675,4978,5252,5556,5611,5623,5765,5885,6036,6362,6386,6206,5993,5943,6020,6225,6288,6384
South Dakota,3992,4069,4263,4439,4604,4797,4914,4981,5040,5041,5027,5185,5256,5354,5289,5061,5029,5160,5209,5297
